StockExchange,Stock,StockTicker,Date,Open,High,Low,Close,AdjClose,Volume
NYSE,Google,GOOG,5/18/2020,"1,361.75","1,392.32","1,354.25","1,383.94","1,383.94",1824000
NYSE,Google,GOOG,5/19/2020,"1,387.00","1,392.00","1,373.48","1,373.48","1,373.48",1280600
NYSE,Google,GOOG,5/20/2020,"1,389.58","1,410.42","1,387.25","1,406.72","1,406.72",1655400
NYSE,Google,GOOG,5/21/2020,"1,408.00","1,415.49","1,393.45","1,402.80","1,402.80",1385000
NYSE,Google,GOOG,5/22/2020,"1,396.71","1,412.76","1,391.83","1,410.42","1,410.42",1309400
NYSE,Google,GOOG,5/26/2020,"1,437.27","1,441.00","1,412.13","1,417.02","1,417.02",2060600
NYSE,Google,GOOG,5/27/2020,"1,417.25","1,421.74","1,391.29","1,417.84","1,417.84",1685800
NYSE,Google,GOOG,5/28/2020,"1,396.86","1,440.84","1,396.00","1,416.73","1,416.73",1692200
NYSE,Google,GOOG,5/29/2020,"1,416.94","1,432.57","1,413.35","1,428.92","1,428.92",1838100
NYSE,Google,GOOG,6/1/2020,"1,418.39","1,437.96","1,418.00","1,431.82","1,431.82",1217100
NYSE,Google,GOOG,6/2/2020,"1,430.55","1,439.61","1,418.83","1,439.22","1,439.22",1278100
NYSE,Google,GOOG,6/3/2020,"1,438.30","1,446.55","1,429.78","1,436.38","1,436.38",1256200
NYSE,Google,GOOG,6/4/2020,"1,430.40","1,438.96","1,404.73","1,412.18","1,412.18",1484300
NYSE,Google,GOOG,6/5/2020,"1,413.17","1,445.05","1,406.00","1,438.39","1,438.39",1734900
NYSE,Google,GOOG,6/8/2020,"1,422.34","1,447.99","1,422.34","1,446.61","1,446.61",1404200
NYSE,Google,GOOG,6/9/2020,"1,445.36","1,468.00","1,443.21","1,456.16","1,456.16",1409200
NYSE,Google,GOOG,6/10/2020,"1,459.54","1,474.26","1,456.27","1,465.85","1,465.85",1525200
NYSE,Google,GOOG,6/11/2020,"1,442.48","1,454.47","1,402.00","1,403.84","1,403.84",1991300
NYSE,Google,GOOG,6/12/2020,"1,428.49","1,437.00","1,386.02","1,413.18","1,413.18",1944200
NYSE,Google,GOOG,6/15/2020,"1,390.80","1,424.80","1,387.92","1,419.85","1,419.85",1503900
NYSE,Google,GOOG,6/16/2020,"1,445.22","1,455.02","1,425.90","1,442.72","1,442.72",1709200
NYSE,Google,GOOG,6/17/2020,"1,447.16","1,460.00","1,431.38","1,451.12","1,451.12",1548300
NYSE,Google,GOOG,6/18/2020,"1,449.16","1,451.41","1,427.01","1,435.96","1,435.96",1581900
NYSE,Google,GOOG,6/19/2020,"1,444.00","1,447.80","1,421.35","1,431.72","1,431.72",3157900
NYSE,Google,GOOG,6/22/2020,"1,429.00","1,452.75","1,423.21","1,451.86","1,451.86",1542400
NYSE,Google,GOOG,6/23/2020,"1,455.64","1,475.94","1,445.24","1,464.41","1,464.41",1429800
NYSE,Google,GOOG,6/24/2020,"1,461.51","1,475.42","1,429.75","1,431.97","1,431.97",1756000
NYSE,Google,GOOG,6/25/2020,"1,429.90","1,442.90","1,420.00","1,441.33","1,441.33",1230500
NYSE,Google,GOOG,6/26/2020,"1,431.39","1,433.45","1,351.99","1,359.90","1,359.90",4267700
NYSE,Google,GOOG,6/29/2020,"1,358.18","1,395.60","1,347.01","1,394.97","1,394.97",1810200
NYSE,Google,GOOG,6/30/2020,"1,390.44","1,418.65","1,383.96","1,413.61","1,413.61",2042400
NYSE,Google,GOOG,7/1/2020,"1,411.10","1,443.00","1,409.82","1,438.04","1,438.04",1775200
NYSE,Google,GOOG,7/2/2020,"1,446.94","1,482.95","1,446.42","1,464.70","1,464.70",1859100
NYSE,Google,GOOG,7/6/2020,"1,480.06","1,506.59","1,472.86","1,495.70","1,495.70",1564000
NYSE,Google,GOOG,7/7/2020,"1,490.00","1,516.80","1,483.55","1,485.18","1,485.18",1458200
NYSE,Google,GOOG,7/8/2020,"1,494.32","1,505.88","1,485.63","1,496.00","1,496.00",1249700
NYSE,Google,GOOG,7/9/2020,"1,506.45","1,522.72","1,488.08","1,510.99","1,510.99",1423300
NYSE,Google,GOOG,7/10/2020,"1,506.15","1,543.83","1,496.54","1,541.74","1,541.74",1856300
